idDrink,strDrink,strDrinkAlternate,strTags,strVideo,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strInstructionsES,strInstructionsDE,strInstructionsFR,strInstructionsIT,strInstructionsZH-HANS,strInstructionsZH-HANT,strDrinkThumb,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strImageSource,strImageAttribution,strCreativeCommonsConfirmed,dateModified
17835,Abilene,,,,Ordinary Drink,,Alcoholic,Highball glass,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,Coloque todos los ingredientes en un vaso alto casi lleno de cubitos de hielo. Sacudir bien.,,,Versare tutti gli ingredienti in un bicchiere highball riempito di cubetti di ghiaccio. Mescolare bene.,,,https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg,Dark rum,Peach nectar,Orange juice,,,,,,,,,,,,,1 1/2 oz ,2 oz ,3 oz ,,,,,,,,,,,,,,,Yes,4/29/2016 9:44
11023,Almeria,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","En una coctelera llena hasta la mitad con cubitos de hielo, mezcla todos los ingredientes. Agitar bien. Colar el contenido en un vaso de cóctel.","In einem Shaker, der halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut schütteln. In ein Cocktailglas abseihen.",,"In uno shaker riempito a metà con cubetti di ghiaccio, unire tutti gli ingredienti.Agitare bene.Filtrare in un bicchiere da cocktail.",,,https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,Dark rum,Kahlua,Egg white,,,,,,,,,,,,,2 oz ,1 oz ,1,,,,,,,,,,,,,,,No,1/2/2017 20:16
17228,Addison,,,,Cocktail,,Alcoholic,Martini Glass,Shake together all the ingredients and strain into a cold glass.,Agitar todos los ingredientes y colar la mezcla en un vaso enfriado.,Alle Zutaten vermengen und in ein kaltes Glas abseihen.,,Shakerare insieme tutti gli ingredienti e filtrare in un bicchiere freddo.,,,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,Gin,Vermouth,,,,,,,,,,,,,,1 1/2 shot ,1 1/2 shot ,,,,,,,,,,,,,,,,No,9/7/2017 22:38
11046,Applecar,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","Agitar todos los ingredientes con hielo, colar en un vaso de cóctel y servir.","Alle Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.",,"Shakerare tutti gli ingredienti con ghiaccio, filtrare in una coppetta da cocktail e servire.",,,https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,Applejack,Triple sec,Lemon juice,,,,,,,,,,,,,1 oz ,1 oz ,1 oz ,,,,,,,,,,,,,,,No,9/2/2017 23:02
17836,Acapulco,,,,Ordinary Drink,,Alcoholic,Old-fashioned glass,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,Mezcle y agite todos los ingredientes (excepto la menta) con hielo y cuélelos en un vaso de rocas sobre cubitos de hielo. Añadir una ramita de menta y servir.,Alle Zutaten (außer Minze) mit Eis mischen und schütteln und in ein old-fashioned Glas über Eiswürfel abseihen. Den Minzzweig dazugeben und servieren.,,Unire e scuotere tutti gli ingredienti (tranne la menta) con ghiaccio e filtrare in un bicchiere vecchio stile su cubetti di ghiaccio.Aggiungere il rametto di menta e servire.,,,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,Light rum,Triple sec,Lime juice,Sugar,Egg white,Mint,,,,,,,,,,1 1/2 oz ,1 1/2 tsp ,1 tblsp ,1 tsp ,1,1,,,,,,,,,,,,Yes,9/2/2016 11:26
17840,Affinity,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","En un vaso mezclador lleno hasta la mitad con cubitos de hielo, combine todos los ingredientes. Sacudir bien. Colar en un vaso de cóctel.","In einem Mischglas, das halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut umrühren. In ein Cocktailglas abseihen.",,"In un mixing glass riempito a metà con cubetti di ghiaccio, unire tutti gli ingredienti. Filtrare in un bicchiere da cocktail. Mescolare bene.",,,https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg,Scotch,Sweet Vermouth,Dry Vermouth,Orange bitters,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,2 dashes ,,,,,,,,,,,,,,Yes,9/7/2017 21:44
17180,Aviation,,"IBA,Classic",https://www.youtube.com/watch?v=oOHH0GGglyM,Cocktail,Unforgettables,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,Agregue todos los ingredientes a una coctelera llena de hielo. Agitar bien y colar en un vaso de cóctel. Decorar con una cereza.,Alle Zutaten in den mit Eis gefüllten Cocktailshaker geben. Gut schütteln und in ein Cocktailglas abseihen. Mit einer Kirsche garnieren.,,"Aggiungi tutti gli ingredienti in uno shaker pieno di ghiaccio.
Shakerare bene e filtrare in una coppetta da cocktail.
Guarnire con una ciliegia.",,,https://www.thecocktaildb.com/images/media/drink/trbplb1606855233.jpg,Gin,lemon juice,maraschino liqueur,,,,,,,,,,,,,4.5 cl,1.5 cl,1.5 cl,,,,,,,,,,,,,https://www.flickr.com/photos/mstyne/27859363080/in/dateposted/,Michael Styne https://www.flickr.com/photos/mstyne/,Yes,11/4/2016 9:55
15182,After sex,,,,Ordinary Drink,,Alcoholic,Highball glass,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,"Vierta el vodka y la crema de plátano sobre unos cubitos de hielo en un vaso alto y rellénelo con el jugo de naranja. Para que quede bonito, pruebe a escarchar el borde de la copa con granadina y azúcar.","Gießen Sie den Wodka und die Sahne über einige Eiswürfel in ein hohes Glas und füllen Sie ihn mit Saft. Damit es voll ist, verzieren Sie die Oberseite des Glases mit einer Grenadine und Zucker.",,"Versare la vodka e la crema su alcuni cubetti di ghiaccio in un bicchiere alto e riempire di succo.
Per renderlo bello, versare nella parte superiore del bicchiere un po’ di granatina e nei bordi mettere un po’ di zucchero",,,https://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,Vodka,Creme de Banane,Orange juice,,,,,,,,,,,,,2 cl ,1 cl ,,,,,,,,,,,,,,,,No,4/24/2017 22:18
16311,Applejack,,,,Cocktail,,Alcoholic,Cocktail glass,"Add all ingredients into mixing glass, chill and strain into cocktail glass","Añadir todos los ingredientes en un vaso mezclador, enfriar y colar en un vaso de cóctel.","Alle Zutaten in das Mischglas geben, kühlen und in das Cocktailglas abseihen.",,"Aggiungere tutti gli ingredienti nel mixing glass, raffreddare e filtrare in una coppetta da cocktail",,,https://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg,Jack Daniels,Midori melon liqueur,Sour mix,,,,,,,,,,,,,1 oz ,1/2 oz ,2 oz ,,,,,,,,,,,,,,,No,11/15/2016 11:24
12560,Afterglow,,,,Cocktail,,Non alcoholic,Highball Glass,Mix. Serve over ice.,Mezcla. Servir con hielo.,Mischen. Auf Eis servieren.,,Servire con ghiaccio.Mescolare.,,,https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,Grenadine,Orange juice,Pineapple juice,,,,,,,,,,,,,1 part ,4 parts ,4 parts ,,,,,,,,,,,,,,,No,7/18/2016 22:07
13162,Afternoon,,,,Coffee / Tea,,Alcoholic,Collins Glass,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.","Preparar en un vaso adecuado, sin hielo. Crema encima, si gustas. Servido directamente.","In ein passendes Glas geben, ohne Eis. Auf Wunsch mit Sahne überziehen. Direkt serviert.",,"Incorpora un bicchiere adatto, senza ghiaccio.
Crema in cima se lo si desidera.
Servito direttamente.",,,https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,Kahlua,Baileys irish cream,Frangelico,Coffee,Cream,,,,,,,,,,,1 cl ,1 cl ,1 1/2,4 cl hot ,,,,,,,,,,,,,,No,8/31/2016 19:22
11014,Alexander,,"IBA,Classic,Dairy",https://www.youtube.com/watch?v=qEhRK_v2w2g,Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,Agite todos los ingredientes con hielo y cuele el contenido en una copa de cóctel. Espolvorea nuez moscada encima y sirve.,Alle Zutaten mit Eis schütteln und in ein Cocktailglas abseihen. Muskatnuss darüber streuen und servieren.,,Shakerare tutti gli ingredienti con ghiaccio e filtrare il contenuto in un bicchiere da cocktail. Cospargere di noce moscata e servire.,,,https://www.thecocktaildb.com/images/media/drink/0clus51606772388.jpg,Gin,Creme de Cacao,Light cream,Nutmeg,,,,,,,,,,,,1/2 oz ,1/2 oz white ,2 oz ,,,,,,,,,,,,,https://www.pxfuel.com/en/free-photo-expqp,pxfuel.com,Yes,11/4/2016 9:50
12756,Autodafé,,,,Ordinary Drink,,Alcoholic,Highball glass,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,Mezclar y completar con agua con gas. Bebido por los finlandeses en un día soleado en cualquier época del año y del día.,Mischen und mit Sodawasser auffüllen. Getrunken von Finnen an einem sonnigen Tag zu jeder Jahreszeit und an jedem Tag.,,Mescolare e riempire con acqua di seltz. Bevuto dai finlandesi in una giornata di sole in qualsiasi momento dell'anno e del giorno.,,,https://www.thecocktaildb.com/images/media/drink/7dkf0i1487602928.jpg,Vodka,Lime juice,Soda water,,,,,,,,,,,,,4 cl ,1 dash ,,,,,,,,,,,,,,,,No,2/20/2017 15:02
11021,Allegheny,,,,Ordinary Drink,,Alcoholic,Cocktail glass,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,Agite todos los ingredientes (excepto el twist de limón) con hielo y cuele en un vaso de cóctel. Cubra con el twist de limón y sirva.,Alle Zutaten (außer Zitronenschale) mit Eis schütteln und in ein Cocktailglas abseihen. Mit der Drehung der Zitronenschale garnieren und servieren.,,Shakerare tutti gli ingredienti (tranne la buccia di limone) con ghiaccio e filtrare in una coppetta da cocktail.Completare con la scorza di limone e servire.,,,https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,Dry Vermouth,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,,,,,,,,,,,1 oz ,1 oz ,1 1/2 tsp ,1 1/2 tsp ,1 twist of ,,,,,,,,,,,,,No,1/2/2017 20:12
15941,Americano,,"IBA,Classic",https://www.youtube.com/watch?v=TmeUJ2g3ogM,Ordinary Drink,Unforgettables,Alcoholic,Collins glass,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",Vierta el Campari y el vermut con hielo en el vaso. Añadir un poco de agua con gas y decorar con media rodaja de naranja.,"Den Campari und den Wermut über Eis in ein Glas gießen, einen Spritzer Sodawasser hinzufügen und mit einer halben Orangenscheibe garnieren.",,"Versare Campari e vermut su ghiaccio in un bicchiere, aggiungere un goccio di acqua di seltz e guarnire con mezza fetta d'arancia.",,,https://www.thecocktaildb.com/images/media/drink/709s6m1613655124.jpg,Campari,Sweet Vermouth,Lemon peel,Orange peel,,,,,,,,,,,,1 oz ,1 oz red ,Twist of ,Twist of ,,,,,,,,,,,,https://commons.wikimedia.org/wiki/File:Martini_Americano.jpg,Author - Cher37 https://commons.wikimedia.org/wiki/File:Martini_Americano.jpg,Yes,11/4/2016 9:52
15853,B-52,,"IBA,NewEra",,Shot,New Era Drinks,Alcoholic,Shot glass,Layer ingredients into a shot glass. Serve with a stirrer.,,Zutaten in ein Schnapsglas schichten. Mit einem Rührstab servieren.,,"Metti gli ingredienti in un bicchiere da shot a strati.
Servire con una paletta.",,,https://www.thecocktaildb.com/images/media/drink/5a3vg61504372070.jpg,Baileys irish cream,Grand Marnier,Kahlua,,,,,,,,,,,,,3-Jan,3-Jan,4-Jan,,,,,,,,,,,,,,,No,9/2/2017 18:07
13332,B-53,,,,Shot,,Alcoholic,Collins Glass,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52",,"Schichte die Kahlua, Sambucca und Grand Marnier in dieser Reihenfolge in ein Schnapsglas ein. Besser als B-52",,"Metti Kahlua, Sambuca e Grand Marnier in un bicchierino in quest'ordine. ",,,https://www.thecocktaildb.com/images/media/drink/rwqxrv1461866023.jpg,Kahlua,Sambuca,Grand Marnier,,,,,,,,,,,,,1/3 shot ,1/3 shot ,1/3 shot ,,,,,,,,,,,,,,,No,4/28/2016 18:53
17254,Bijou,,,,Cocktail,,Alcoholic,Cocktail glass,"Stir in mixing glass with ice and strain
",,In Mischglas mit Eis verrühren und abseihen.,,Mescolare nel mixing glass con ghiaccio e filtrare,,,https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg,Orange Bitters,Green Chartreuse,Gin,Sweet Vermouth,,,,,,,,,,,,1 dash,1 oz,1 oz,1 oz,,,,,,,,,,,,,,No,12/19/2017 18:09
11149,Boxcar,,,,Ordinary Drink,,Alcoholic,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",,"In einem Shaker, der halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut schütteln. In ein Sour Glas abseihen.",,"In uno shaker riempito a metà con cubetti di ghiaccio, unire tutti gli ingredienti.Filtrare in un bicchiere sour.Agitare bene.",,,https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,Gin,Triple sec,Lemon juice,Grenadine,Egg white,,,,,,,,,,,1 1/2 oz ,1 oz ,1 tsp ,1/2 tsp ,1,,,,,,,,,,,,,No,9/2/2017 16:32
13222,Big Red,,,,Shot,,Alcoholic,Shot glass,Pour ingredients into 1 ounce shot glass,,Zutaten in 1 Schnapsglas gießen.,,Versare gli ingredienti in un bicchierino da shot.,,,https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,Irish cream,Goldschlager,,,,,,,,,,,,,,1/2 oz ,1/2 oz ,,,,,,,,,,,,,,,,No,9/3/2015 3:41
17195,Bellini,,"ContemporaryClassic,IBA",,Ordinary Drink,Contemporary Classics,Alcoholic,Champagne Flute,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.",,"Pfirsichpüree in das gekühlte Sektglas gießen, Sekt hinzufügen. Vorsichtig umrühren.",,"Versare la purea di pesche in una flûte fredda, aggiungere lo spumante.
",,,https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg,Champagne,Peach schnapps,,,,,,,,,,,,,,6 oz ,1 oz ,,,,,,,,,,,,,,,,No,9/2/2017 16:52
17210,Bramble,,"IBA,NewEra",,Ordinary Drink,New Era Drinks,Alcoholic,Old-Fashioned glass,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",,"Füllen Sie das Glas mit zerstoßenem Eis. Den Gin, den Zitronensaft und den Sirup dazugeben. Rühren Sie um und gießen Sie dann Brombeerlikör kreisförmig darüber, um einen Marmoriereffekt zu erzielen. Mit zwei Brombeeren und einer Zitronenscheibe garnieren.",,"Riempi il bicchiere con ghiaccio tritato.
Aggiungi gin, succo di limone e sciroppo semplice.
Mescolare e poi versare il liquore alla mora in modo circolare per creare un effetto marmorizzato.
Guarnire con due more e una fetta di limone.",,,https://www.thecocktaildb.com/images/media/drink/twtbh51630406392.jpg,Gin,lemon juice,Sugar syrup,Creme de Mure,,,,,,,,,,,,4 cl,1.5 cl,1 cl,1.5 cl,,,,,,,,,,,,https://www.instagram.com/p/CSR2YF3M9uT,@wanderingdane,Yes,9/2/2017 18:15
11060,Balmoral,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",,"In einem Mischglas, das halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut umrühren. In ein Cocktailglas abseihen.",,"In un mixing glass riempito a metà con cubetti di ghiaccio, unire tutti gli ingredienti. Filtrare in un bicchiere da cocktail.Mescolare bene.",,,https://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg,Scotch,Sweet Vermouth,Dry Vermouth,Bitters,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,2 dashes ,,,,,,,,,,,,,,No,9/2/2015 16:04
11120,Bluebird,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",,"In einem Mischglas, das halb mit Crushed Ice gefüllt ist, den Gin, Triple Sec, Curacao und Bitter vermengen. Gut umrühren. In ein Cocktailglas abseihen und mit Zitronenschale und Kirsche garnieren.",,"In un mixing glass riempito a metà con ghiaccio tritato, unisci il gin, il triple sec, il Curacao e il bitter.Mescolare bene.Filtrare in una coppetta da cocktail e guarnire con la scorza di limone e la ciliegia.",,,https://www.thecocktaildb.com/images/media/drink/5jhyd01582579843.jpg,Gin,Triple sec,Blue Curacao,Bitters,Maraschino cherry,Lemon peel,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,2 dashes ,1,1 twist of ,,,,,,,,,,,,Yes,9/2/2015 17:06
178310,Brooklyn,,"Alcoholic,Sweet,DateNight,USA",,Cocktail,,Alcoholic,Cocktail glass,Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,,,,Unisci gli ingredienti con il ghiaccio e mescola finché non si saranno raffreddati. Filtrare in una coppetta da cocktail ghiacciata.,,,https://www.thecocktaildb.com/images/media/drink/ojsezf1582477277.jpg,Rye Whiskey,Dry Vermouth,Maraschino Liqueur,Angostura Bitters,Maraschino Cherry,,,,,,,,,,,2 oz,1 oz,1/4 oz,3 dashes,1,,,,,,,,,,,,,Yes,
12572,Bora Bora,,,,Cocktail,,Non alcoholic,Highball glass,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.",,"In einem Mixer oder Shaker zubereiten, in einem Highball-Glas ""On the Rocks"" servieren. Mit 1 Scheibe Ananas und einer Kirsche garnieren.",,"Preparare in un frullatore o uno shaker, servire in un bicchiere highball con ghiaccio.Guarnire con 1 fetta di ananas e una ciliegia.",,,https://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,Pineapple juice,Passion fruit juice,Lemon juice,Grenadine,,,,,,,,,,,,10 cl ,6 cl ,1 cl ,1 cl ,,,,,,,,,,,,,,No,9/6/2016 23:43
